Molecule,TH2,TH4,TH5,TH7,TH1,TH3,TH6,TH8
PG 18:1/16:1,497727.3889,438926.2479,275753.7086,377824.0062,236840.0357,221902.6336,364580.2762,370776.2288
PG 18:1/18:1,5929163.818,5322913.02,3502707.757,4875019.988,3325477.219,2646262.322,5322834.91,5058371.181
PG 18:1/18:2,1954361.817,2065132.261,1552687.737,1795425.672,1409609.397,1198708.475,1838076.784,1837395.85
PG 18:1/18:3,56.62493198,50.18086038,,107.1158079,388.3399951,246.4079961,287.3243678,346.7378182
PG 18:1/20:1,204666.5174,159550.6938,137828.1986,161408.9187,121577.6579,106283.4906,191915.6689,189343.4982
PG 18:1/20:2,142200.8729,131369.2315,97356.60665,119195.6478,89989.52753,65426.8229,122594.2096,119643.3202
PG 18:1/20:3,613294.2981,554432.2182,484325.7232,618559.0542,458910.7751,446976.3278,586487.465,652800.476
PG 18:1/20:4,605149.9687,531859.3669,468069.6584,593677.4316,498992.0517,403251.1135,534836.6833,624082.2359
PG 18:1/20:5,19271.72759,16695.76643,12518.67464,16925.61943,14378.20953,11881.58658,14274.92217,18153.03716
PG 18:1/22:4,410036.4439,329862.1072,317457.8737,410152.8892,426636.2225,326423.7148,395626.2862,490885.3698
PG 18:1/22:5,449384.9923,383929.9061,356045.8947,493012.2975,461209.5661,316811.0172,430554.2411,520779.1941
PG 18:1/22:6,532216.6201,428294.9987,364254.6999,579425.126,513284.0227,479438.5137,585431.588,601013.8069
PG 18:2/16:1,171644.0345,167833.2797,106758.5835,148958.924,103479.8253,107954.1898,138174.7227,137509.3177
PG 18:2/18:2,1021798.265,1214410.762,954034.6291,1001845.867,808070.6303,881732.1699,848752.8631,899179.6011
PG 18:2/18:3,32275.00881,37780.39451,32668.74971,27197.40931,21664.38793,26571.05889,26191.42704,27449.11449
PG 18:2/20:1,34631.64137,36696.82616,29466.22639,28031.47494,24783.19165,21327.60244,30253.08154,29722.49669
PG 18:2/20:3,183239.1607,195181.9817,158107.5521,199772.0507,143812.605,157114.5866,156849.824,175440.8264
PG 18:2/20:4,203743.3739,204316.9506,215167.97,214324.3334,198420.1884,202805.9523,182462.2672,205595.5192
PG 18:2/22:4,102300.5072,79228.52776,76825.02915,86793.44144,97119.81338,84496.44198,73029.64125,87502.61348
PG 18:2/22:5,117566.9791,105008.6775,101270.1802,122058.762,115322.3287,94946.71965,97150.89057,116439.3776
PG 18:2/22:6,143239.5603,137801.4895,122235.9967,144902.6584,164014.2188,177908.8894,153876.1424,150498.2838
PG 20:0/16:1,1476.250874,1359.963184,1090.868355,1029.873399,975.9704059,785.448478,1217.243055,1543.512582
PG 20:0/18:1,53523.78802,69130.01626,68345.32644,61559.38269,46677.36348,75446.63417,52823.21802,71179.09741
PG 20:0/18:2,6466.018986,7414.851025,8519.129506,5101.430963,5136.535906,6695.958237,6482.121426,5754.285547
PG 20:0/18:3,400.025402,1001.720773,645.8861181,699.6377437,474.1839129,539.6440625,922.8475371,561.9428948
PG 20:0/20:3,1110.454664,1117.195652,1087.138004,1017.417445,425.9635353,946.9313209,952.2804032,929.4368984
PG 20:0/20:4,3872.716371,2122.175553,4353.858839,3768.202927,5405.429991,2771.785694,4207.116932,3824.270796
PG 20:0/20:5,117.7056629,146.8376832,250.5106397,158.4227068,56.81036729,379.4822822,275.1240573,93.56881044
PG 20:0/22:4,998.7665606,408.8828602,668.1191352,653.463079,714.2569662,459.2132952,802.9276723,542.9973232
PG 20:0/22:5,827.3433693,976.5377588,565.6870565,929.8972687,1208.002392,930.7731073,651.5061822,1072.12989
PG 20:0/22:6,1317.065389,1385.338951,803.9144565,746.6188274,1371.630355,1586.209342,1436.614934,1093.570802
LPI 14:0,1097.557376,704.4990102,1290.22038,655.2595755,358.3879728,1252.662613,1206.097706,900.7270099
LPI 16:0,455969.9511,806748.2316,519571.5092,705077.4676,312676.3562,419519.7764,422927.5216,556832.2074
LPI 16:1,7081.4971,12945.86385,9836.228375,12259.70285,4189.658769,6361.325682,8642.600907,10236.56507
LPI 18:0,15549.07529,23979.00472,15895.42103,9574.898368,9332.9346,12286.20458,33291.91626,8483.489664
LPI 18:1,377877.4632,691246.5932,636925.1504,713220.782,260418.6206,372475.6034,438203.8354,505760.4991
LPI 18:2,73211.28847,161338.9981,114171.0405,170494.2984,58619.90317,80357.22049,91535.57559,136706.1519
LPI 18:3,3234.362635,3420.220764,2454.515491,20727.99216,2040.519525,2085.79086,2299.697479,22370.99158
LPI 20:0,4759.565798,14590.7719,24949.48072,7851.166791,4441.548744,12120.88162,8466.42218,8138.780112
LPI 20:1,5469.744553,6640.288988,7857.743433,5665.484121,3729.085185,2936.312005,5311.840124,4168.402772
LPI 20:2,106.4789552,117.6211016,113.8462225,117.0510379,56.91317271,212.2601001,469.7224593,238.5737952
LPI 20:3,234358.9304,550820.0968,292556.2214,456089.7378,154170.9218,216976.4341,266503.4456,323197.4314
LPI 20:4,962561.5806,2226876.158,1407762.566,1982371.208,766499.8002,1097997.465,1285995.722,1493536.744
LPI 20:5,1680.06122,2665.304049,1852.300443,2488.217856,1359.588247,2046.050031,1581.057142,2482.96594
LPI 22:4,266.6512958,160.2065576,84.06034191,151.663056,102.6912613,126.8199842,98.53609585,89.50936591
LPI 22:5,71.40507852,114.1088428,74.20708059,142.5665208,41.71368921,147.5235563,52.29628458,91.64644847
LPI 22:6,65.2584202,99.9940356,162.5778059,44.52004121,63.8412245,27.91424978,82.64344484,58.45979822
PI 15:0/18:1,29963.04035,49093.13863,38650.6509,50340.60842,30941.94031,37470.88954,39141.03832,48816.83847
PI 14:1/14:1,452.6815373,211.3599637,129.2403658,140.2527295,148.0739973,344.3457342,229.0765544,64.85515108
PI 14:0/14:0,528.4224127,581.9098637,641.1849171,680.8245874,498.547203,371.3299037,470.7405678,753.3643876
PI 14:0/18:1,1151.135884,1822.316149,2273.331107,1419.255008,1345.565436,1457.221543,1485.071969,1926.319134
PI 14:0/18:2,356.674167,139.8413886,211.0578879,232.615267,179.9910843,100.367211,164.173111,195.0527958
PI 14:0/18:3,168.4444896,168.2604325,331.5157811,79.42139086,155.1989448,124.746826,201.6771083,287.9628797
PI 14:0/20:1,68.59733657,150.9575798,48.76099075,207.0278056,237.0937403,166.4507445,163.636597,259.0137038
PI 14:0/20:2,157.0482108,242.5161894,370.5574998,269.3803736,435.398283,100.6275802,59.1812564,114.9058124
PI 14:0/20:3,103.9720578,117.1775325,119.9795551,62.61015197,69.6625021,89.05755607,59.32474174,64.00886905
PI 14:0/20:4,135.3175942,276.129316,143.5897326,315.362408,74.75981551,434.8337546,285.2722212,144.9899245
PI 14:0/20:5,49.45422831,338.2464207,112.4234606,29.58204151,62.01581905,76.89929891,62.06244673,259.5437195
PI 14:0/22:4,81.95639839,,,94.96380277,220.5406798,17.53721861,19.79970703,
PI 14:0/22:5,61.40479484,144.2594857,172.1305351,114.9434903,38.77422641,126.0359717,114.6472238,60.57188498
PI 14:0/22:6,,205.0381594,117.3291028,105.0954089,118.055841,40.91977524,339.9612431,203.3807767
PI 16:0/14:0,332.2612863,387.1786822,244.3231602,275.1501556,301.8237056,236.8692862,294.3965603,215.4564367
